policy_no,policy_type,idv_sum_insured,status,next_renewal,balance_amount
POL-39017832,Private Car Package - Zero Depreciation,750000,Flagged,4/20/2025,337124
POL-39524644,Private Car Package - Zero Depreciation,1050000,Active,9/20/2025,661635
POL-39540819,Private Car Package - Zero Depreciation,750000,Active,3/14/2025,709641
POL-39622345,Private Car Package - Standard,750000,Active,2/24/2026,527811
POL-39629905,Private Car Package - Standard,350000,Active,2/12/2025,312833
POL-39665884,Private Car Package - Zero Depreciation,489999,Active,12/24/2025,443348
POL-39699750,Private Car Package - Zero Depreciation,840000,Active,8/8/2026,709336
POL-39708565,Private Car Package - Standard,600000,Active,11/19/2025,600000
POL-39728691,Private Car Package - Standard,600000,Active,5/13/2025,517240
POL-39804404,Private Car Package - Zero Depreciation,840000,Active,5/6/2026,782691
POL-39838428,Private Car Package - Zero Depreciation,489999,Active,8/26/2026,447678
POL-39859417,Private Car Package - Standard,750000,Active,2/3/2026,610925
POL-39974911,Private Car Package - Zero Depreciation,550000,Active,4/4/2026,496185
POL-40028328,Private Car Package - Zero Depreciation,840000,Flagged,5/26/2026,490893
POL-40113423,Private Car Package - Standard,550000,Active,1/5/2026,493509
POL-40135315,Private Car Package - Standard,750000,Flagged,8/9/2026,180273
POL-40201607,Private Car Package - Zero Depreciation,750000,Active,5/1/2026,750000
POL-40341576,Private Car Package - Zero Depreciation,750000,Active,12/20/2025,619194
POL-40619033,Private Car Package - Zero Depreciation,489999,Active,8/21/2025,342260
POL-40622987,Private Car Package - Standard,550000,Active,10/5/2025,465167
POL-40706637,Private Car Package - Zero Depreciation,935000,Active,7/27/2026,879463
POL-40718969,Private Car Package - Zero Depreciation,600000,Active,7/28/2025,566331
POL-41056674,Private Car Package - Standard,550000,Active,8/5/2026,550000
POL-41131665,Private Car Package - Standard,750000,Flagged,11/2/2025,258782
POL-41188094,Private Car Package - Zero Depreciation,1050000,Active,8/26/2026,1050000
POL-41461145,Private Car Package - Zero Depreciation,750000,Active,8/19/2025,646935
POL-41482380,Private Car Package - Standard,550000,Active,3/25/2026,475267
POL-41555503,Private Car Package - Zero Depreciation,350000,Active,8/14/2026,294097
POL-41569870,Private Car Package - Standard,600000,Flagged,5/7/2026,372743
POL-41613909,Private Car Package - Zero Depreciation,770000,Active,11/4/2026,699304
POL-41674318,Private Car Package - Standard,750000,Active,6/28/2026,574413
POL-41686594,Private Car Package - Standard,550000,Active,11/30/2025,471586
POL-41782334,Private Car Package - Standard,350000,Active,3/5/2025,228290
POL-41789903,Private Car Package - Zero Depreciation,1050000,Active,8/15/2026,766390
POL-41802377,Private Car Package - Standard,350000,Flagged,1/25/2026,172259
POL-42068443,Private Car Package - Standard,750000,Active,7/1/2025,610522
POL-42171461,Private Car Package - Standard,600000,Active,2/4/2025,600000
POL-42294239,Private Car Package - Standard,600000,Active,12/1/2025,514396
POL-42363612,Private Car Package - Zero Depreciation,489999,Active,10/7/2026,489999
POL-42501558,Private Car Package - Standard,550000,Flagged,5/22/2025,186828
POL-42584111,Private Car Package - Zero Depreciation,770000,Active,11/6/2025,716084
POL-42745764,Private Car Package - Zero Depreciation,489999,Active,4/4/2026,410461
POL-42877339,Private Car Package - Zero Depreciation,1050000,Active,10/15/2026,1050000
POL-43052714,Private Car Package - Standard,600000,Active,4/7/2026,600000
POL-43096349,Private Car Package - Zero Depreciation,1275000,Active,1/6/2025,1275000
POL-43118373,Private Car Package - Standard,750000,Active,1/18/2026,634041
POL-43276040,Private Car Package - Zero Depreciation,489999,Flagged,5/9/2026,347186
POL-43280915,Private Car Package - Zero Depreciation,1050000,Active,6/8/2026,924461
POL-43291310,Private Car Package - Standard,550000,Active,2/15/2025,550000
POL-43346627,Private Car Package - Zero Depreciation,489999,Active,5/25/2026,367821
POL-43445128,Private Car Package - Zero Depreciation,840000,Active,9/10/2026,840000
POL-43449562,Private Car Package - Zero Depreciation,1050000,Active,4/14/2026,841985
POL-43572499,Private Car Package - Zero Depreciation,489999,Active,2/7/2026,462138
POL-43668169,Private Car Package - Zero Depreciation,1050000,Active,11/16/2025,1050000
POL-43718207,Private Car Package - Zero Depreciation,840000,Active,5/25/2026,512814
POL-43731669,Private Car Package - Zero Depreciation,350000,Active,8/20/2025,240678
POL-43864191,Private Car Package - Standard,350000,Active,5/27/2026,350000
POL-43997625,Private Car Package - Zero Depreciation,1050000,Active,7/7/2026,1050000
POL-44048811,Private Car Package - Standard,350000,Active,5/17/2026,350000
POL-44112953,Private Car Package - Zero Depreciation,1275000,Active,8/30/2026,1105353
POL-44217357,Private Car Package - Zero Depreciation,1050000,Active,6/21/2025,689293
POL-44414179,Private Car Package - Standard,600000,Active,2/25/2025,600000
POL-44414803,Private Car Package - Zero Depreciation,600000,Active,6/18/2025,485045
POL-44497543,Private Car Package - Zero Depreciation,770000,Active,7/24/2025,770000
POL-44521861,Private Car Package - Zero Depreciation,595000,Active,11/5/2026,444959
POL-44629109,Private Car Package - Standard,750000,Active,9/15/2026,683315
POL-44916256,Private Car Package - Zero Depreciation,489999,Active,1/17/2025,407457
POL-44981865,Private Car Package - Zero Depreciation,1020000,Active,4/19/2025,1020000
POL-45167945,Private Car Package - Zero Depreciation,1050000,Active,5/8/2026,1050000
POL-45210714,Private Car Package - Zero Depreciation,770000,Active,9/27/2026,770000
POL-45416819,Private Car Package - Zero Depreciation,1050000,Active,1/25/2025,993435
POL-45494800,Private Car Package - Zero Depreciation,1050000,Active,10/2/2026,1050000
POL-45504522,Private Car Package - Standard,600000,Active,8/4/2025,386938
POL-45512509,Private Car Package - Zero Depreciation,840000,Active,2/22/2025,626953
POL-45594170,Private Car Package - Zero Depreciation,840000,Flagged,6/8/2025,572126
POL-45658934,Private Car Package - Zero Depreciation,770000,Active,7/17/2026,663833
POL-45859558,Private Car Package - Zero Depreciation,840000,Active,5/3/2025,608363
POL-45881462,Private Car Package - Standard,550000,Active,4/6/2026,448921
POL-45897639,Private Car Package - Zero Depreciation,935000,Active,8/9/2026,935000
POL-45998045,Private Car Package - Zero Depreciation,489999,Active,8/15/2025,489999
POL-46160728,Private Car Package - Standard,350000,Active,3/25/2025,238080
POL-46283912,Private Car Package - Zero Depreciation,840000,Active,5/5/2025,840000
POL-46414375,Private Car Package - Zero Depreciation,1275000,Active,6/30/2026,1275000
POL-46510652,Private Car Package - Zero Depreciation,770000,Active,3/26/2025,654703
POL-46682937,Private Car Package - Zero Depreciation,840000,Active,7/27/2025,840000
POL-47002650,Private Car Package - Standard,350000,Active,10/19/2025,229338
POL-47091959,Private Car Package - Zero Depreciation,600000,Active,4/17/2025,544001
POL-47097366,Private Car Package - Standard,550000,Flagged,4/17/2025,390326
POL-47141564,Private Car Package - Zero Depreciation,1020000,Flagged,7/5/2026,777138
POL-47423710,Private Car Package - Zero Depreciation,489999,Active,7/5/2026,489999
POL-47518180,Private Car Package - Zero Depreciation,750000,Active,2/27/2025,750000
POL-47536377,Private Car Package - Zero Depreciation,1050000,Active,4/28/2026,1050000
POL-47589894,Private Car Package - Zero Depreciation,550000,Active,4/14/2026,468320
POL-47746018,Private Car Package - Zero Depreciation,489999,Active,12/2/2026,429566
POL-47877584,Private Car Package - Zero Depreciation,1020000,Active,2/25/2025,826442
POL-47919072,Private Car Package - Zero Depreciation,489999,Active,2/27/2026,404092
POL-47943107,Private Car Package - Zero Depreciation,1050000,Active,2/5/2026,1050000
POL-48261909,Private Car Package - Zero Depreciation,840000,Active,7/19/2026,840000
POL-48298983,Private Car Package - Zero Depreciation,840000,Active,3/19/2026,568838
POL-48459196,Private Car Package - Zero Depreciation,489999,Active,3/31/2026,465159
POL-48511122,Private Car Package - Standard,750000,Flagged,7/3/2025,519642
POL-48538006,Private Car Package - Zero Depreciation,489999,Active,12/26/2025,489999
POL-48636373,Private Car Package - Zero Depreciation,489999,Active,1/21/2026,489999
POL-48746410,Private Car Package - Zero Depreciation,770000,Active,2/19/2026,770000
POL-48768782,Private Car Package - Zero Depreciation,489999,Active,3/26/2026,448650
POL-48954273,Private Car Package - Zero Depreciation,840000,Flagged,3/2/2026,609150
POL-49017342,Private Car Package - Zero Depreciation,840000,Active,8/20/2025,654824
POL-49029224,Private Car Package - Zero Depreciation,600000,Active,10/16/2026,600000
POL-49035415,Private Car Package - Zero Depreciation,1050000,Active,5/29/2025,1050000
POL-49062344,Private Car Package - Zero Depreciation,770000,Active,4/1/2026,770000
POL-49138498,Private Car Package - Zero Depreciation,1275000,Active,10/30/2025,1275000
POL-49244009,Private Car Package - Zero Depreciation,770000,Active,1/14/2026,653293
POL-49266804,Private Car Package - Standard,750000,Active,10/18/2026,558244
POL-49629287,Private Car Package - Zero Depreciation,750000,Active,1/9/2025,664164
POL-49633928,Private Car Package - Zero Depreciation,1050000,Active,11/9/2025,887964
POL-49648737,Private Car Package - Zero Depreciation,770000,Active,6/29/2025,770000
POL-49675573,Private Car Package - Zero Depreciation,350000,Active,3/27/2026,306441
POL-49676979,Private Car Package - Zero Depreciation,750000,Active,3/18/2025,451156
POL-49754956,Private Car Package - Zero Depreciation,770000,Active,1/5/2026,686331
POL-49799864,Private Car Package - Zero Depreciation,600000,Active,9/16/2026,430642
POL-49884780,Private Car Package - Zero Depreciation,750000,Active,7/18/2025,656960
POL-49943327,Private Car Package - Zero Depreciation,1050000,Active,7/8/2026,748790
POL-50240848,Private Car Package - Standard,600000,Active,10/18/2025,515717
POL-50328587,Private Car Package - Zero Depreciation,770000,Flagged,9/4/2026,238161
POL-50332875,Private Car Package - Zero Depreciation,550000,Flagged,6/13/2025,227448
POL-50383609,Private Car Package - Zero Depreciation,595000,Flagged,9/3/2025,357456
POL-50493450,Private Car Package - Zero Depreciation,750000,Active,11/9/2026,679634
POL-50677904,Private Car Package - Zero Depreciation,489999,Active,10/6/2025,396633
POL-50809129,Private Car Package - Standard,350000,Active,10/10/2025,313497
POL-50915386,Private Car Package - Zero Depreciation,489999,Active,12/17/2025,489999
POL-50979101,Private Car Package - Zero Depreciation,840000,Active,10/1/2025,840000
POL-51036885,Private Car Package - Zero Depreciation,350000,Active,2/2/2025,350000
POL-51106553,Private Car Package - Zero Depreciation,489999,Active,10/30/2026,320275
POL-51216588,Private Car Package - Zero Depreciation,600000,Active,3/10/2026,395525
POL-51385915,Private Car Package - Zero Depreciation,600000,Active,4/10/2025,494667
POL-51392167,Private Car Package - Zero Depreciation,550000,Active,8/2/2026,550000
POL-51530180,Private Car Package - Zero Depreciation,750000,Active,6/3/2025,750000
POL-51541472,Private Car Package - Standard,350000,Active,8/17/2025,152141
POL-51691569,Private Car Package - Standard,350000,Active,3/12/2025,350000
POL-51708049,Private Car Package - Zero Depreciation,840000,Active,4/18/2025,840000
POL-51735863,Private Car Package - Zero Depreciation,1050000,Flagged,6/8/2025,427163
POL-51829852,Private Car Package - Zero Depreciation,1020000,Active,11/12/2026,1020000
POL-51901965,Private Car Package - Zero Depreciation,550000,Active,1/10/2026,472912
POL-51970233,Private Car Package - Zero Depreciation,1050000,Active,11/18/2025,860717
POL-51978548,Private Car Package - Zero Depreciation,1050000,Flagged,11/6/2026,234806
POL-52045544,Private Car Package - Zero Depreciation,840000,Active,9/21/2026,701078
POL-52096359,Private Car Package - Standard,550000,Flagged,5/9/2026,229619
POL-52454274,Private Car Package - Zero Depreciation,840000,Active,8/15/2025,722398
POL-52500580,Private Car Package - Zero Depreciation,600000,Active,1/23/2025,486608
POL-52916872,Private Car Package - Standard,600000,Active,5/28/2025,600000
POL-52975534,Private Car Package - Standard,750000,Active,3/1/2026,646839
POL-53134690,Private Car Package - Zero Depreciation,489999,Active,11/18/2025,463706
POL-53149369,Private Car Package - Zero Depreciation,840000,Active,9/21/2026,685848
POL-53248511,Private Car Package - Zero Depreciation,750000,Active,9/13/2025,660813
POL-53444326,Private Car Package - Zero Depreciation,1050000,Active,5/11/2026,1050000
POL-53451367,Private Car Package - Zero Depreciation,840000,Active,7/18/2026,696167
POL-53520305,Private Car Package - Zero Depreciation,770000,Active,5/18/2025,717294
POL-53675272,Private Car Package - Zero Depreciation,550000,Active,2/13/2025,466185
POL-53816633,Private Car Package - Standard,350000,Active,3/27/2025,292348
POL-53841593,Private Car Package - Zero Depreciation,770000,Flagged,11/29/2025,630467
POL-53880385,Private Car Package - Standard,550000,Active,2/13/2025,383769
POL-54036905,Private Car Package - Zero Depreciation,1050000,Active,4/16/2025,984033
POL-54173821,Private Car Package - Zero Depreciation,1020000,Active,6/27/2026,716238
POL-54270484,Private Car Package - Standard,350000,Active,7/21/2026,305938
POL-54382071,Private Car Package - Standard,350000,Active,8/9/2025,302535
POL-54426432,Private Car Package - Zero Depreciation,770000,Active,10/12/2025,637590
POL-54504708,Private Car Package - Zero Depreciation,1050000,Active,11/11/2026,924735
POL-54753761,Private Car Package - Zero Depreciation,1275000,Active,4/17/2026,1275000
POL-54770751,Private Car Package - Zero Depreciation,750000,Active,8/27/2025,750000
POL-55044074,Private Car Package - Zero Depreciation,1050000,Active,3/2/2026,921760
POL-55071155,Private Car Package - Zero Depreciation,489999,Active,2/9/2025,489999
POL-55169975,Private Car Package - Zero Depreciation,1275000,Active,2/15/2026,1275000
POL-55177157,Private Car Package - Zero Depreciation,1275000,Active,5/23/2025,1020598
POL-55236182,Private Car Package - Zero Depreciation,1050000,Active,1/19/2026,846132
POL-55287507,Private Car Package - Zero Depreciation,489999,Active,10/7/2025,398259
POL-55290589,Private Car Package - Zero Depreciation,550000,Active,2/18/2026,550000
POL-55347215,Private Car Package - Zero Depreciation,1050000,Active,2/8/2025,1050000
POL-55382513,Private Car Package - Zero Depreciation,600000,Active,5/10/2026,568866
POL-55542295,Private Car Package - Zero Depreciation,1050000,Active,12/16/2025,959321
POL-55635957,Private Car Package - Zero Depreciation,489999,Active,10/16/2026,489999
POL-55670267,Private Car Package - Standard,600000,Active,7/11/2025,547799
POL-55678473,Private Car Package - Zero Depreciation,1050000,Flagged,8/20/2025,813577
POL-55702419,Private Car Package - Standard,600000,Active,11/29/2026,530960
POL-55847036,Private Car Package - Standard,600000,Active,2/11/2026,510904
POL-55985080,Private Car Package - Zero Depreciation,600000,Active,7/21/2026,523285
POL-56107317,Private Car Package - Zero Depreciation,1050000,Active,1/20/2025,783562
POL-56182939,Private Car Package - Standard,350000,Active,1/25/2026,291279
POL-56256063,Private Car Package - Zero Depreciation,1050000,Active,4/5/2026,1050000
POL-56333039,Private Car Package - Zero Depreciation,1050000,Flagged,2/1/2026,636063
POL-56413142,Private Car Package - Standard,600000,Active,5/15/2025,468180
POL-56420463,Private Car Package - Zero Depreciation,750000,Active,12/29/2025,620584
POL-56576435,Private Car Package - Zero Depreciation,750000,Active,11/19/2026,681906
POL-56601190,Private Car Package - Zero Depreciation,770000,Active,4/5/2026,696739
POL-56755270,Private Car Package - Standard,350000,Flagged,9/11/2026,284349
POL-56789962,Private Car Package - Zero Depreciation,750000,Active,6/28/2025,532640
POL-56911605,Private Car Package - Standard,350000,Active,7/12/2025,350000
POL-56970937,Private Car Package - Zero Depreciation,489999,Active,8/25/2026,307766
POL-57012639,Private Car Package - Zero Depreciation,595000,Active,4/6/2025,407726
POL-57031725,Private Car Package - Zero Depreciation,840000,Active,4/3/2025,794700
POL-57039279,Private Car Package - Zero Depreciation,1050000,Active,7/4/2025,1050000
POL-57132126,Private Car Package - Standard,550000,Active,5/30/2025,550000
POL-57133986,Private Car Package - Standard,750000,Flagged,7/10/2025,629917
POL-57250908,Private Car Package - Zero Depreciation,1020000,Flagged,1/24/2025,583409
POL-57251600,Private Car Package - Zero Depreciation,1050000,Active,1/23/2026,1050000
POL-57425002,Private Car Package - Zero Depreciation,770000,Active,10/6/2025,591286
POL-57460216,Private Car Package - Standard,600000,Active,8/5/2026,600000
POL-57672649,Private Car Package - Zero Depreciation,1050000,Active,5/23/2026,890266
POL-57886990,Private Car Package - Standard,600000,Active,6/22/2026,501642
POL-58432833,Private Car Package - Standard,600000,Active,7/5/2025,528235
POL-58501316,Private Car Package - Zero Depreciation,770000,Active,11/4/2025,770000
POL-58508505,Private Car Package - Zero Depreciation,1020000,Active,10/18/2025,830008
POL-58514569,Private Car Package - Zero Depreciation,489999,Active,9/16/2025,299561
POL-58550573,Private Car Package - Zero Depreciation,935000,Active,10/30/2025,836212
POL-58558214,Private Car Package - Standard,350000,Active,10/25/2026,350000
POL-58584588,Private Car Package - Zero Depreciation,350000,Flagged,6/5/2026,247967
POL-58718280,Private Car Package - Zero Depreciation,489999,Active,1/18/2026,423785
POL-58731949,Private Car Package - Standard,600000,Active,11/26/2025,494322
POL-58735357,Private Car Package - Zero Depreciation,750000,Active,7/13/2026,750000
POL-58744926,Private Car Package - Zero Depreciation,595000,Flagged,4/16/2025,375734
POL-58757527,Private Car Package - Zero Depreciation,350000,Active,3/31/2026,286638
POL-58772499,Private Car Package - Standard,550000,Active,5/6/2026,550000
POL-58838267,Private Car Package - Zero Depreciation,770000,Active,7/26/2026,770000
POL-58909499,Private Car Package - Standard,600000,Active,3/25/2026,449892
POL-58997780,Private Car Package - Zero Depreciation,840000,Flagged,3/27/2026,461464
POL-59140566,Private Car Package - Zero Depreciation,770000,Active,7/22/2026,728692
POL-59145343,Private Car Package - Zero Depreciation,770000,Active,7/16/2026,513834
POL-59195661,Private Car Package - Standard,550000,Active,7/11/2026,550000
POL-59207275,Private Car Package - Zero Depreciation,550000,Active,5/29/2026,450338
POL-59411897,Private Car Package - Zero Depreciation,1050000,Flagged,5/27/2025,828065
POL-59480008,Private Car Package - Zero Depreciation,935000,Active,7/1/2026,935000
POL-59490791,Private Car Package - Zero Depreciation,770000,Active,3/17/2026,770000
POL-59533369,Private Car Package - Standard,600000,Active,5/21/2025,464836
POL-59544635,Private Car Package - Standard,550000,Active,7/3/2026,369437
POL-59869941,Private Car Package - Zero Depreciation,840000,Active,6/21/2025,752737
POL-59891110,Private Car Package - Zero Depreciation,935000,Active,9/1/2025,672222
POL-60104634,Private Car Package - Zero Depreciation,840000,Active,7/6/2026,707766
POL-60123837,Private Car Package - Standard,600000,Active,2/17/2025,399506
POL-60156253,Private Car Package - Zero Depreciation,935000,Active,5/14/2026,879362
POL-60234801,Private Car Package - Zero Depreciation,770000,Active,6/23/2025,673879
POL-60239430,Private Car Package - Zero Depreciation,840000,Active,11/15/2025,712570
POL-60305619,Private Car Package - Zero Depreciation,1050000,Active,9/28/2025,895245
POL-60419183,Private Car Package - Standard,600000,Active,3/19/2025,538890
POL-60443057,Private Car Package - Zero Depreciation,840000,Active,10/27/2026,740643
POL-60534888,Private Car Package - Zero Depreciation,489999,Active,1/30/2026,489999
POL-60609566,Private Car Package - Standard,600000,Active,11/25/2025,569311
POL-60630119,Private Car Package - Zero Depreciation,600000,Active,2/25/2026,600000
POL-60721076,Private Car Package - Zero Depreciation,1050000,Active,4/30/2026,1050000
POL-60826228,Private Car Package - Standard,550000,Active,12/1/2025,550000
POL-60835770,Private Car Package - Zero Depreciation,750000,Active,2/15/2025,750000
POL-60947335,Private Car Package - Zero Depreciation,1275000,Active,3/13/2025,1109129
POL-61002989,Private Car Package - Zero Depreciation,1020000,Active,2/20/2025,1020000
POL-61142632,Private Car Package - Zero Depreciation,1050000,Active,12/24/2025,733278
POL-61159159,Private Car Package - Zero Depreciation,770000,Active,5/14/2026,728803
POL-61262318,Private Car Package - Zero Depreciation,840000,Active,4/26/2025,840000
POL-61302139,Private Car Package - Zero Depreciation,600000,Active,9/10/2025,560058
POL-61305864,Private Car Package - Zero Depreciation,489999,Active,11/8/2025,398954
POL-61415714,Private Car Package - Zero Depreciation,595000,Active,6/7/2026,365602
POL-61604975,Private Car Package - Zero Depreciation,489999,Active,10/29/2026,489999
POL-61612267,Private Car Package - Standard,600000,Active,5/16/2026,600000
POL-61796771,Private Car Package - Zero Depreciation,840000,Flagged,4/13/2026,424902
POL-61868946,Private Car Package - Zero Depreciation,1050000,Active,5/21/2026,974447
POL-62030055,Private Car Package - Zero Depreciation,1020000,Active,3/23/2026,897653
POL-62056085,Private Car Package - Zero Depreciation,770000,Active,7/4/2026,664793
POL-62086968,Private Car Package - Zero Depreciation,600000,Active,7/31/2026,563083
POL-62138287,Private Car Package - Standard,750000,Flagged,9/11/2025,462538
POL-62255156,Private Car Package - Zero Depreciation,1020000,Active,6/20/2026,1020000
POL-62281184,Private Car Package - Standard,350000,Active,11/8/2025,350000
POL-62310548,Private Car Package - Zero Depreciation,840000,Flagged,8/5/2025,677080
POL-62566816,Private Car Package - Zero Depreciation,1050000,Active,7/13/2025,912449
POL-62593646,Private Car Package - Zero Depreciation,550000,Active,3/27/2026,512018
POL-62717680,Private Car Package - Zero Depreciation,1020000,Active,7/3/2025,666321
POL-62755975,Private Car Package - Standard,350000,Active,4/18/2026,243740
POL-62847407,Private Car Package - Standard,550000,Active,1/5/2025,493723
POL-62943730,Private Car Package - Zero Depreciation,489999,Flagged,10/26/2026,354547
POL-62976787,Private Car Package - Zero Depreciation,595000,Active,4/30/2026,595000
POL-62983483,Private Car Package - Zero Depreciation,350000,Active,9/22/2025,300105
POL-63069278,Private Car Package - Zero Depreciation,489999,Active,1/2/2025,438145
POL-63077853,Private Car Package - Zero Depreciation,1050000,Active,4/20/2026,782588
POL-63078835,Private Car Package - Zero Depreciation,550000,Active,1/7/2025,467366
POL-63112764,Private Car Package - Standard,600000,Active,5/9/2026,600000
POL-63254642,Private Car Package - Standard,550000,Active,5/18/2025,550000
POL-63384425,Private Car Package - Zero Depreciation,489999,Active,6/22/2025,457114
POL-63696253,Private Car Package - Zero Depreciation,840000,Active,11/8/2025,787311
POL-63746782,Private Car Package - Standard,350000,Active,11/4/2025,350000
POL-63805573,Private Car Package - Zero Depreciation,600000,Active,11/15/2026,516684
POL-63894139,Private Car Package - Zero Depreciation,550000,Active,1/20/2025,516967
POL-63947504,Private Car Package - Zero Depreciation,770000,Active,1/24/2025,725453
POL-64058165,Private Car Package - Zero Depreciation,1050000,Active,9/3/2025,1050000
POL-64097948,Private Car Package - Zero Depreciation,770000,Flagged,7/1/2026,390811
POL-64124911,Private Car Package - Zero Depreciation,1050000,Active,2/3/2026,1050000
POL-64182631,Private Car Package - Zero Depreciation,600000,Flagged,5/22/2026,420090
POL-64187879,Private Car Package - Zero Depreciation,770000,Active,6/9/2026,549095
POL-64247788,Private Car Package - Zero Depreciation,840000,Active,8/12/2026,840000
POL-64469835,Private Car Package - Zero Depreciation,489999,Active,4/13/2025,454850
POL-64669551,Private Car Package - Standard,350000,Active,8/19/2026,309063
POL-64802210,Private Car Package - Zero Depreciation,770000,Active,6/30/2025,683374
POL-65038796,Private Car Package - Zero Depreciation,1020000,Active,4/18/2026,1020000
POL-65102535,Private Car Package - Standard,550000,Active,4/27/2026,550000
POL-65207000,Private Car Package - Zero Depreciation,840000,Active,12/17/2025,652236
POL-65321551,Private Car Package - Standard,600000,Active,7/31/2025,508231
POL-65384573,Private Car Package - Zero Depreciation,1050000,Active,2/26/2025,1050000
POL-65448412,Private Car Package - Standard,600000,Active,5/14/2025,600000
POL-65465889,Private Car Package - Standard,600000,Active,9/27/2025,600000
POL-65506367,Private Car Package - Standard,600000,Active,11/28/2026,518885
POL-65581649,Private Car Package - Zero Depreciation,489999,Active,2/2/2025,489999
POL-65657704,Private Car Package - Zero Depreciation,840000,Active,5/15/2026,776964
POL-65706578,Private Car Package - Standard,750000,Active,6/20/2026,750000
POL-65829545,Private Car Package - Zero Depreciation,489999,Active,3/15/2025,382493
POL-65849404,Private Car Package - Zero Depreciation,550000,Active,6/7/2025,475306
POL-65871445,Private Car Package - Zero Depreciation,1050000,Active,6/9/2026,1050000
POL-65943563,Private Car Package - Zero Depreciation,1050000,Flagged,10/3/2026,526790
POL-66017822,Private Car Package - Zero Depreciation,595000,Active,2/11/2026,500806
POL-66044512,Private Car Package - Zero Depreciation,750000,Active,10/13/2026,750000
POL-66106639,Private Car Package - Standard,350000,Active,11/3/2026,302834
POL-66664674,Private Car Package - Zero Depreciation,770000,Active,10/20/2025,660809
POL-67103791,Private Car Package - Zero Depreciation,935000,Active,10/1/2026,819175
POL-67256710,Private Car Package - Standard,350000,Flagged,2/16/2025,254230
POL-67396018,Private Car Package - Zero Depreciation,840000,Active,11/9/2026,770015
POL-67456293,Private Car Package - Zero Depreciation,489999,Active,11/28/2026,489999
POL-67604024,Private Car Package - Zero Depreciation,1050000,Active,2/20/2026,1050000
POL-67705884,Private Car Package - Zero Depreciation,489999,Flagged,4/20/2026,257966
POL-67780606,Private Car Package - Zero Depreciation,840000,Flagged,3/22/2025,456874
POL-67820892,Private Car Package - Zero Depreciation,595000,Active,10/23/2026,541326
POL-67866956,Private Car Package - Zero Depreciation,350000,Flagged,1/30/2025,270586
POL-68027472,Private Car Package - Zero Depreciation,770000,Active,11/1/2026,498626
POL-68042551,Private Car Package - Zero Depreciation,840000,Active,3/4/2025,685794
POL-68172700,Private Car Package - Zero Depreciation,1020000,Active,9/6/2026,840080
POL-68358186,Private Car Package - Zero Depreciation,840000,Active,12/28/2025,644928
POL-68531196,Private Car Package - Zero Depreciation,600000,Flagged,8/24/2026,306575
POL-68549731,Private Car Package - Zero Depreciation,935000,Active,8/11/2026,629851
POL-68567431,Private Car Package - Zero Depreciation,350000,Active,1/20/2025,314421
POL-68733809,Private Car Package - Zero Depreciation,489999,Active,9/30/2025,428636
POL-68767290,Private Car Package - Zero Depreciation,840000,Active,10/30/2026,840000
POL-69029346,Private Car Package - Zero Depreciation,1275000,Active,12/30/2025,1275000
POL-69097674,Private Car Package - Zero Depreciation,489999,Active,5/7/2025,489999
POL-69181303,Private Car Package - Zero Depreciation,1050000,Active,7/21/2026,865940
POL-69188558,Private Car Package - Zero Depreciation,350000,Active,6/28/2025,234223
POL-69304312,Private Car Package - Zero Depreciation,489999,Active,5/29/2025,489999
POL-69443951,Private Car Package - Standard,600000,Active,9/14/2025,560830
POL-69620961,Private Car Package - Zero Depreciation,550000,Active,7/2/2026,550000
POL-69655856,Private Car Package - Standard,750000,Active,5/16/2026,750000
POL-69733575,Private Car Package - Zero Depreciation,770000,Active,9/13/2026,662631
POL-69774217,Private Car Package - Zero Depreciation,550000,Active,9/23/2026,363098
POL-70033776,Private Car Package - Zero Depreciation,600000,Flagged,2/28/2025,429164
POL-70043224,Private Car Package - Zero Depreciation,840000,Active,7/25/2025,840000
POL-70083142,Private Car Package - Zero Depreciation,840000,Active,11/18/2025,840000
POL-70099401,Private Car Package - Zero Depreciation,1050000,Active,9/27/2025,1050000
POL-70196137,Private Car Package - Zero Depreciation,770000,Active,11/9/2025,604334
POL-70273755,Private Car Package - Zero Depreciation,489999,Flagged,4/4/2025,402728
POL-70474020,Private Car Package - Zero Depreciation,840000,Flagged,11/20/2025,410285
POL-70594786,Private Car Package - Zero Depreciation,489999,Flagged,1/13/2026,406927
POL-70848771,Private Car Package - Zero Depreciation,1050000,Active,2/3/2026,637191
POL-70925814,Private Car Package - Zero Depreciation,840000,Active,9/4/2026,840000
POL-70961225,Private Car Package - Zero Depreciation,770000,Active,8/17/2026,622950
POL-70984827,Private Car Package - Zero Depreciation,595000,Active,8/26/2025,595000
POL-70996299,Private Car Package - Standard,350000,Active,12/26/2025,291452
POL-71000201,Private Car Package - Standard,750000,Active,9/22/2026,675985
POL-71007894,Private Car Package - Zero Depreciation,489999,Flagged,12/13/2025,307618
POL-71174362,Private Car Package - Zero Depreciation,595000,Active,4/29/2026,481112
POL-71183174,Private Car Package - Standard,350000,Active,8/12/2025,350000
POL-71184392,Private Car Package - Standard,350000,Active,11/17/2026,350000
POL-71438416,Private Car Package - Zero Depreciation,770000,Flagged,2/9/2025,393220
POL-71487139,Private Car Package - Standard,750000,Flagged,5/22/2026,374318
POL-71654233,Private Car Package - Zero Depreciation,489999,Active,4/3/2026,408633
