claim_id,policy_id,total_claims,claim_history_amount,last_claim_reason,claim_request,claim_status
591,591,2,353679,"Fire, Explosion, Self-Ignition or Lightning",,
592,592,0,0,,,
593,593,3,415098,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
594,594,0,0,,,
595,595,1,75553,Landslide or Rockslide,,
596,596,1,56565,Malicious Act,,
597,597,0,0,,,
598,598,3,159674,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
599,599,1,69142,"Fire, Explosion, Self-Ignition or Lightning",,
600,600,1,85048,Earthquake (Fire and Shock Damage),,
601,601,1,49730,"Burglary, Housebreaking or Theft",,
602,602,2,298844,Malicious Act,,
603,603,0,0,,,
604,604,2,85604,Malicious Act,,
605,605,0,0,,,
606,606,1,75373,Riot and Strike,,
607,607,0,0,,,
608,608,3,221616,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
609,609,2,83527,Landslide or Rockslide,,
610,610,2,268167,Earthquake (Fire and Shock Damage),,
611,611,2,115777,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
612,612,0,0,,,
613,613,1,49441,Riot and Strike,,
614,614,0,0,,,
615,615,1,45603,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
616,616,0,0,,,
617,617,0,0,,,
618,618,0,0,,,
619,619,4,290826,Riot and Strike,,
620,620,2,207036,Riot and Strike,,
621,621,0,0,,,
622,622,1,113511,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
623,623,1,89187,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
624,624,4,214508,Accidental External Means,,
625,625,1,105678,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
626,626,0,0,,,
627,627,2,303762,Terrorist Activity,,
628,628,3,287462,"Burglary, Housebreaking or Theft",,
629,629,0,0,,,
630,630,2,86626,Riot and Strike,,
631,631,0,0,,,
632,632,1,36413,Landslide or Rockslide,,
633,633,0,0,,,
634,634,2,112431,Landslide or Rockslide,,
635,635,1,139507,Landslide or Rockslide,,
636,636,0,0,,,
637,637,0,0,,,
638,638,0,0,,,
639,639,2,58455,Accidental External Means,,
640,640,0,0,,,
641,641,1,138922,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
642,642,1,84895,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
643,643,0,0,,,
644,644,3,101326,Landslide or Rockslide,,
645,645,2,137896,Riot and Strike,,
646,646,2,360707,Accidental External Means,,
647,647,1,84621,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
648,648,1,51854,"Burglary, Housebreaking or Theft",,
649,649,1,78067,Riot and Strike,,
650,650,1,57309,"Burglary, Housebreaking or Theft",,
651,651,0,0,,,
652,652,2,168943,"Burglary, Housebreaking or Theft",,
653,653,3,377122,"Burglary, Housebreaking or Theft",,
654,654,2,183113,Malicious Act,,
655,655,1,101450,"Burglary, Housebreaking or Theft",,
656,656,2,82194,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
657,657,0,0,,,
658,658,2,193851,Accidental External Means,,
659,659,3,227257,Landslide or Rockslide,,
660,660,0,0,,,
661,661,3,270877,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
662,662,0,0,,,
663,663,1,52201,Accidental External Means,,
664,664,2,185176,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
665,665,1,65298,"Burglary, Housebreaking or Theft",,
666,666,2,113638,Landslide or Rockslide,,
667,667,2,180563,Malicious Act,,
668,668,0,0,,,
669,669,1,246981,Terrorist Activity,,
670,670,1,92224,Malicious Act,,
671,671,1,149587,Riot and Strike,,
672,672,1,94194,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
673,673,2,187980,"Fire, Explosion, Self-Ignition or Lightning",,
674,674,1,133647,Riot and Strike,,
675,675,1,22382,Landslide or Rockslide,,
676,676,1,87809,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
677,677,0,0,,,
678,678,2,262778,Accidental External Means,,
679,679,2,208508,"Fire, Explosion, Self-Ignition or Lightning",,
680,680,1,35269,"Burglary, Housebreaking or Theft",,
681,681,1,85883,Accidental External Means,,
682,682,2,70675,Earthquake (Fire and Shock Damage),,
683,683,1,37974,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
684,684,0,0,,,
685,685,4,475386,Earthquake (Fire and Shock Damage),,
686,686,2,208478,Accidental External Means,,
687,687,2,212774,"Burglary, Housebreaking or Theft",,
688,688,0,0,,,
689,689,1,45300,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
690,690,0,0,,,
691,691,1,95783,Earthquake (Fire and Shock Damage),,
692,692,0,0,,,
693,693,1,85836,Landslide or Rockslide,,
694,694,2,204475,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
695,695,1,53916,Terrorist Activity,,
696,696,0,0,,,
697,697,2,267836,Landslide or Rockslide,,
698,698,1,69351,Accidental External Means,,
699,699,0,0,,,
700,700,3,184458,Earthquake (Fire and Shock Damage),,
701,701,0,0,,,
702,702,0,0,,,
703,703,0,0,,,
704,704,1,68094,Terrorist Activity,,
705,705,2,71765,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
706,706,1,55537,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
707,707,1,77917,Earthquake (Fire and Shock Damage),,
708,708,1,101736,Accidental External Means,,
709,709,0,0,,,
710,710,4,221124,Earthquake (Fire and Shock Damage),,
711,711,0,0,,,
712,712,2,222189,Accidental External Means,,
713,713,0,0,,,
714,714,1,150766,Riot and Strike,,
715,715,1,32885,Earthquake (Fire and Shock Damage),,
716,716,0,0,,,
717,717,0,0,,,
718,718,0,0,,,
719,719,2,47050,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
720,720,2,109322,Earthquake (Fire and Shock Damage),,
721,721,1,121119,Malicious Act,,
722,722,1,244614,"Fire, Explosion, Self-Ignition or Lightning",,
723,723,2,187764,Riot and Strike,,
724,724,2,266438,Malicious Act,,
725,725,2,352677,"Fire, Explosion, Self-Ignition or Lightning",,
726,726,0,0,,,
727,727,0,0,,,
728,728,0,0,,,
729,729,1,62674,Malicious Act,,
730,730,0,0,,,
731,731,3,172997,"Burglary, Housebreaking or Theft",,
732,732,2,125539,"Burglary, Housebreaking or Theft",,
733,733,2,122178,"Burglary, Housebreaking or Theft",,
734,734,0,0,,,
735,735,2,256166,"Fire, Explosion, Self-Ignition or Lightning",,
736,736,1,98944,"Fire, Explosion, Self-Ignition or Lightning",,
737,737,0,0,,,
738,738,2,118780,"Burglary, Housebreaking or Theft",,
739,739,2,154755,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
740,740,2,125003,"Fire, Explosion, Self-Ignition or Lightning",,
741,741,1,165923,"Burglary, Housebreaking or Theft",,
742,742,0,0,,,
743,743,0,0,,,
744,744,0,0,,,
745,745,2,178714,Terrorist Activity,,
746,746,1,100299,Riot and Strike,,
747,747,3,207497,Riot and Strike,,
748,748,2,200518,Terrorist Activity,,
749,749,1,31134,Riot and Strike,,
750,750,1,121585,"Burglary, Housebreaking or Theft",,
751,751,1,55903,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
752,752,0,0,,,
753,753,3,142813,Earthquake (Fire and Shock Damage),,
754,754,2,159651,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
755,755,2,159734,Terrorist Activity,,
756,756,2,132410,Accidental External Means,,
757,757,0,0,,,
758,758,1,79538,Landslide or Rockslide,,
759,759,2,271374,Terrorist Activity,,
760,760,2,106167,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
761,761,1,91769,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
762,762,0,0,,,
763,763,0,0,,,
764,764,1,105333,"Burglary, Housebreaking or Theft",,
765,765,0,0,,,
766,766,2,114955,"Fire, Explosion, Self-Ignition or Lightning",,
767,767,0,0,,,
768,768,0,0,,,
769,769,1,143059,"Burglary, Housebreaking or Theft",,
770,770,4,260510,Terrorist Activity,,
771,771,2,175587,"Fire, Explosion, Self-Ignition or Lightning",,
772,772,2,117766,Terrorist Activity,,
773,773,1,85036,Riot and Strike,,
774,774,0,0,,,
775,775,2,375377,Accidental External Means,,
776,776,0,0,,,
777,777,3,349958,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
778,778,1,130806,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
779,779,0,0,,,
780,780,1,130664,Landslide or Rockslide,,
781,781,1,51770,Malicious Act,,
782,782,0,0,,,
783,783,1,146741,Riot and Strike,,
784,784,0,0,,,
785,785,0,0,,,
786,786,1,139075,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
787,787,4,148428,"Fire, Explosion, Self-Ignition or Lightning",,
788,788,0,0,,,
789,789,1,103065,Terrorist Activity,,
790,790,3,314470,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
791,791,1,53826,"Burglary, Housebreaking or Theft",,
792,792,4,250128,Malicious Act,,
793,793,1,120948,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
794,794,3,539567,Accidental External Means,,
795,795,2,143833,Landslide or Rockslide,,
796,796,1,90448,Riot and Strike,,
797,797,3,508848,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
798,798,2,132238,Accidental External Means,,
799,799,1,42635,Landslide or Rockslide,,
800,800,0,0,,,
801,801,0,0,,,
802,802,2,77826,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
803,803,1,68081,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
804,804,1,30689,Earthquake (Fire and Shock Damage),,
805,805,0,0,,,
806,806,0,0,,,
807,807,0,0,,,
808,808,1,74694,"Burglary, Housebreaking or Theft",,
809,809,1,193558,"Burglary, Housebreaking or Theft",,
810,810,1,49895,Earthquake (Fire and Shock Damage),,
811,811,0,0,,,
812,812,1,99623,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
813,813,3,95770,Landslide or Rockslide,,
814,814,1,66991,"Burglary, Housebreaking or Theft",,
815,815,3,255145,Terrorist Activity,,
816,816,2,142550,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
817,817,0,0,,,
818,818,0,0,,,
819,819,0,0,,,
820,820,2,165666,"Burglary, Housebreaking or Theft",,
821,821,1,71561,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
822,822,2,93040,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
823,823,2,106260,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
824,824,1,25244,"Burglary, Housebreaking or Theft",,
825,825,4,149784,Accidental External Means,,
826,826,1,165871,Landslide or Rockslide,,
827,827,0,0,,,
828,828,0,0,,,
829,829,1,156697,Earthquake (Fire and Shock Damage),,
830,830,1,52706,Accidental External Means,,
831,831,1,122719,Accidental External Means,,
832,832,3,221888,Landslide or Rockslide,,
833,833,0,0,,,
834,834,1,40937,"Fire, Explosion, Self-Ignition or Lightning",,
835,835,4,293490,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
836,836,1,77088,Riot and Strike,,
837,837,2,153059,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
838,838,1,154152,Earthquake (Fire and Shock Damage),,
839,839,1,56508,Riot and Strike,,
840,840,2,91135,Terrorist Activity,,
841,841,1,116707,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
842,842,1,86818,Accidental External Means,,
843,843,3,219266,Accidental External Means,,
844,844,0,0,,,
845,845,2,117283,Malicious Act,,
846,846,0,0,,,
847,847,1,41197,Accidental External Means,,
848,848,2,181311,Riot and Strike,,
849,849,0,0,,,
850,850,1,192423,Landslide or Rockslide,,
851,851,3,320381,"Burglary, Housebreaking or Theft",,
852,852,1,77814,Riot and Strike,,
853,853,1,169647,Landslide or Rockslide,,
854,854,3,100117,Riot and Strike,,
855,855,0,0,,,
856,856,0,0,,,
857,857,0,0,,,
858,858,1,146221,Landslide or Rockslide,,
859,859,1,115138,Accidental External Means,,
860,860,0,0,,,
861,861,1,60433,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
862,862,3,199047,Landslide or Rockslide,,
863,863,1,65016,Riot and Strike,,
864,864,0,0,,,
865,865,1,64805,Terrorist Activity,,
866,866,4,136411,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
867,867,1,82874,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
868,868,0,0,,,
869,869,2,117013,Malicious Act,,
870,870,3,267874,"Burglary, Housebreaking or Theft",,
871,871,0,0,,,
872,872,0,0,,,
873,873,1,97552,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
874,874,1,138474,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
875,875,3,306066,"Burglary, Housebreaking or Theft",,
876,876,1,84646,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
877,877,3,87271,"Fire, Explosion, Self-Ignition or Lightning",,
878,878,2,269259,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
879,879,1,42534,Malicious Act,,
880,880,3,170836,Landslide or Rockslide,,
881,881,1,70696,Earthquake (Fire and Shock Damage),,
882,882,0,0,,,
883,883,1,149754,"Fire, Explosion, Self-Ignition or Lightning",,
884,884,2,36503,"Burglary, Housebreaking or Theft",,
885,885,3,293425,Malicious Act,,
886,886,4,88606,"Burglary, Housebreaking or Theft",,
887,887,1,93350,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
888,888,1,56277,Landslide or Rockslide,,
889,889,0,0,,,
890,890,2,324689,"Burglary, Housebreaking or Theft",,
891,891,1,36917,Malicious Act,,
892,892,2,69040,Terrorist Activity,,
893,893,0,0,,,
894,894,1,63643,Earthquake (Fire and Shock Damage),,
895,895,0,0,,,
896,896,3,144389,Accidental External Means,,
897,897,1,112474,Earthquake (Fire and Shock Damage),,
898,898,2,309062,Earthquake (Fire and Shock Damage),,
899,899,0,0,,,
900,900,2,231637,"Burglary, Housebreaking or Theft",,
901,901,1,83815,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
902,902,0,0,,,
903,903,3,288057,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
904,904,0,0,,,
905,905,1,61006,Malicious Act,,
906,906,0,0,,,
907,907,0,0,,,
908,908,1,136329,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
909,909,1,106402,Terrorist Activity,,
910,910,0,0,,,
911,911,0,0,,,
912,912,1,61565,Earthquake (Fire and Shock Damage),,
913,913,0,0,,,
914,914,0,0,,,
915,915,1,39170,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
916,916,1,86439,Riot and Strike,,
917,917,1,101079,"Burglary, Housebreaking or Theft",,
918,918,2,326947,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
919,919,0,0,,,
920,920,2,217360,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
921,921,1,63036,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
922,922,5,232033,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
923,923,0,0,,,
924,924,2,114408,"Burglary, Housebreaking or Theft",,
925,925,2,249175,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
926,926,0,0,,,
927,927,1,44547,Riot and Strike,,
928,928,2,213062,"Burglary, Housebreaking or Theft",,
929,929,0,0,,,
930,930,2,57652,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
931,931,2,179749,Malicious Act,,
932,932,2,246497,Riot and Strike,,
933,933,1,47529,Accidental External Means,,
934,934,1,88341,Riot and Strike,,
935,935,0,0,,,
936,936,0,0,,,
937,937,1,85907,Accidental External Means,,
938,938,0,0,,,
939,939,1,44435,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
940,940,0,0,,,
941,941,1,82982,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
942,942,2,184205,Riot and Strike,,
943,943,3,523210,Malicious Act,,
944,944,3,132406,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
945,945,2,88040,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
946,946,0,0,,,
947,947,0,0,,,
948,948,2,158641,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
949,949,0,0,,,
950,950,0,0,,,
951,951,3,304893,"Fire, Explosion, Self-Ignition or Lightning",,
952,952,2,107506,Malicious Act,,
953,953,1,88447,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
954,954,0,0,,,
955,955,2,123221,"Burglary, Housebreaking or Theft",,
956,956,6,484416,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
957,957,0,0,,,
958,958,0,0,,,
959,959,0,0,,,
960,960,2,110948,Riot and Strike,,
961,961,2,166231,"Fire, Explosion, Self-Ignition or Lightning",,
962,962,0,0,,,
963,963,2,253046,"Burglary, Housebreaking or Theft",,
964,964,2,85793,Riot and Strike,,
965,965,0,0,,,
966,966,1,38577,"Fire, Explosion, Self-Ignition or Lightning",,
967,967,2,150108,Terrorist Activity,,
968,968,1,70228,Riot and Strike,,
969,969,2,176980,Landslide or Rockslide,,
970,970,0,0,,,
971,971,0,0,,,
972,972,1,43122,Landslide or Rockslide,,
973,973,4,815194,"Burglary, Housebreaking or Theft",,
974,974,0,0,,,
975,975,5,433310,Accidental External Means,,
976,976,1,85294,"Burglary, Housebreaking or Theft",,
977,977,1,82755,Terrorist Activity,,
978,978,6,401065,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
979,979,1,149014,Earthquake (Fire and Shock Damage),,
980,980,1,47166,Earthquake (Fire and Shock Damage),,
981,981,2,56491,"Fire, Explosion, Self-Ignition or Lightning",,
982,982,2,174185,"Fire, Explosion, Self-Ignition or Lightning",,
983,983,0,0,,,
984,984,1,94800,Earthquake (Fire and Shock Damage),,
985,985,0,0,,,
986,986,1,128240,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
987,987,1,55999,Malicious Act,,
988,988,3,379189,Riot and Strike,,
989,989,1,97883,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
990,990,3,277418,Accidental External Means,,
991,991,0,0,,,
992,992,1,89096,Terrorist Activity,,
993,993,0,0,,,
994,994,0,0,,,
995,995,1,44062,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
996,996,0,0,,,
997,997,0,0,,,
998,998,0,0,,,
999,999,0,0,,,
1000,1000,1,105912,Landslide or Rockslide,,
