car_number,vehicle_model
UP 46 3004,Tata Nexon
UP 47 9242,Honda City
UP 49 7042,Honda City
UP 50 1446,Hyundai Creta
UP 50 2187,Hyundai Creta
UP 50 5316,Tata Nexon
UP 52 2717,Hyundai Creta
UP 53 3913,Honda City
UP 53 5328,Hyundai Creta
UP 55 3822,Hyundai Creta
UP 59 1681,Maruti Swift
UP 60 4338,Hyundai Creta
UP 63 7415,Hyundai Creta
UP 65 3629,Hyundai Creta
UP 68 5416,Tata Nexon
UP 69 7968,Tata Nexon
UP 71 2035,Maruti Swift
UP 72 5564,Honda City
UP 74 5149,Maruti Swift
UP 77 1106,Hyundai Creta
UP 78 7829,Tata Nexon
UP 78 8949,Honda City
UP 78 9111,Honda City
UP 80 5244,Honda City
UP 81 2725,Maruti Swift
UP 87 1818,Tata Nexon
UP 87 6429,Honda City
UP 90 7623,Honda City
UP 92 2021,Hyundai Creta
UP 94 5769,Tata Nexon
UP 97 5729,Hyundai Creta
UP 99 6055,Hyundai Creta
WB 02 0084,Maruti Swift
WB 03 8567,Honda City
WB 06 7897,Honda City
WB 08 0220,Hyundai Creta
WB 11 1885,Honda City
WB 12 2157,Honda City
WB 14 9552,Honda City
WB 16 0548,Tata Nexon
WB 16 6068,Tata Nexon
WB 17 0350,Tata Nexon
WB 17 1230,Honda City
WB 19 3803,Honda City
WB 20 8221,Tata Nexon
WB 22 9012,Honda City
WB 23 6420,Tata Nexon
WB 24 3091,Tata Nexon
WB 28 4680,Tata Nexon
WB 30 9237,Maruti Swift
WB 31 9424,Maruti Swift
WB 32 2965,Honda City
WB 35 0097,Maruti Swift
WB 35 5964,Hyundai Creta
WB 35 6905,Honda City
WB 37 3528,Hyundai Creta
WB 39 4443,Maruti Swift
WB 43 0543,Honda City
WB 44 2297,Maruti Swift
WB 45 5160,Honda City
WB 46 8526,Hyundai Creta
WB 51 4203,Honda City
WB 52 2961,Tata Nexon
WB 52 6927,Honda City
WB 52 8355,Maruti Swift
WB 54 5449,Honda City
WB 56 1661,Maruti Swift
WB 56 3947,Hyundai Creta
WB 56 9641,Hyundai Creta
WB 60 7993,Hyundai Creta
WB 63 5053,Maruti Swift
WB 63 6234,Honda City
WB 64 6963,Tata Nexon
WB 66 0048,Honda City
WB 66 0639,Maruti Swift
WB 67 0021,Honda City
WB 67 6315,Honda City
WB 68 4697,Tata Nexon
WB 69 1497,Honda City
WB 71 3009,Hyundai Creta
WB 72 1647,Hyundai Creta
WB 72 2564,Honda City
WB 78 9671,Hyundai Creta
WB 83 3247,Hyundai Creta
WB 83 3740,Maruti Swift
WB 86 4161,Hyundai Creta
WB 87 1276,Honda City
WB 87 4869,Tata Nexon
WB 87 8740,Honda City
WB 87 9838,Honda City
WB 88 4722,Tata Nexon
WB 90 5307,Hyundai Creta
WB 91 0469,Hyundai Creta
WB 91 3353,Honda City
WB 92 6385,Tata Nexon
WB 92 8867,Hyundai Creta
WB 93 0790,Honda City
WB 93 9718,Hyundai Creta
WB 94 3519,Maruti Swift
WB 94 5196,Tata Nexon
WB 95 3160,Tata Nexon
WB 95 3422,Tata Nexon
WB 97 0252,Honda City
WB 97 4936,Maruti Swift
WB 97 5499,Maruti Swift
WB 98 7516,Maruti Swift
WB 99 3914,Tata Nexon
WB 99 6566,Hyundai Creta
